112.3	-20.3	1.258
71.1	12	1.469
71.6	11	1.277
72.2	8.8	1.874
-74.4	36.6	5.166
-74.2	37.2	5.253
-4	62.5	0.813
-23.4	56.2	1.179
-23.8	56.4	0.67
-49.5	-30	4.003
12.6	-22	1.87
-53	-37.7	3.057
-36.5	-12.5	0.656
-57.6	-43.5	1.631
-57.8	-43.7	2.461
-57.2	-43.1	1.621
-57.2	-43.1	1.197
-56.6	-42.5	1.978
-55.75	-41.75	1.421
-51.6	-33	2.078
16	-33.2	1.273
13	-24	0.988
16.8	-34.3	2.942
11.5	-22	3.123
2.8	67.2	1.288
-19	59.3	2.27
