1,0,60,60,60,1.424,0
2,0,127,127,127,4.271,0.748
3,0,134,134,134,7.932,1.156
4,0,60,60,60,11.254,1.497
5,0,150,150,150,14.305,2.109
6,0,102,102,102,17.763,2.381
7,0,117,117,117,20.881,2.721
8,0,153,153,153,23.797,3.061
9,0,116,116,116,26.373,3.129
10,0,152,152,152,29.22,3.469
11,0,103,103,103,32.136,3.605
12,0,127,127,127,35.186,3.81
13,0,232,232,232,37.424,3.946
14,0,134,134,134,40.542,4.218
15,0,60,60,60,43.729,4.286
16,0,134,134,134,47.254,4.354
17,0,154,154,154,50.441,4.558
18,0,151,151,151,53.831,4.694
19,0,158,158,158,56.746,4.762
20,0,158,158,158,60.068,4.762
21,0,102,102,102,63.661,4.762
22,0,158,158,158,67.525,4.218
23,0,158,158,158,70.373,3.605
